name,id,year,director,top,rating,num_of_rates
"Доктор Стрейнджлав, или Как я научился не волноваться и полюбил атомную бомбу",tt0057012,1964,"Stanley Kubrick (dir.), Peter Sellers, George C. Scott",54,8.4,376174
Nuovo Cinema Paradiso,tt0095765,1988,"Giuseppe Tornatore (dir.), Philippe Noiret, Enzo Cannavale",55,8.4,172833
Жизнь других,tt0405094,2006,"Florian Henckel von Donnersmarck (dir.), Ulrich Mühe, Martina Gedeck",56,8.4,287497
Могила светлячков,tt0095327,1988,"Isao Takahata (dir.), Tsutomu Tatsumi, Ayano Shiraishi",57,8.4,162346
Тропы славы,tt0050825,1957,"Stanley Kubrick (dir.), Kirk Douglas, Ralph Meeker",58,8.4,135798
Джанго освобожденный,tt1853728,2012,"Quentin Tarantino (dir.), Jamie Foxx, Christoph Waltz",59,8.4,1077560
Сияние,tt0081505,1980,"Stanley Kubrick (dir.), Jack Nicholson, Shelley Duvall",60,8.4,685537
Бегущий по лезвию 2049,tt1856101,2017,"Denis Villeneuve (dir.), Harrison Ford, Ryan Gosling",61,8.4,135776
ВАЛЛ-И,tt0910970,2008,"Andrew Stanton (dir.), Ben Burtt, Elissa Knight",62,8.4,804565
Красота по-американски,tt0169547,1999,"Sam Mendes (dir.), Kevin Spacey, Annette Bening",63,8.4,904553
Тёмный рыцарь: Возрождение легенды,tt1345836,2012,"Christopher Nolan (dir.), Christian Bale, Tom Hardy",64,8.4,1259724
Принцесса Мононокэ,tt0119698,1997,"Hayao Miyazaki (dir.), Yôji Matsuda, Yuriko Ishida",65,8.4,254282
Олдбой,tt0364569,2003,"Chan-wook Park (dir.), Min-sik Choi, Ji-tae Yu",66,8.4,403226
Чужие,tt0090605,1986,"James Cameron (dir.), Sigourney Weaver, Michael Biehn",67,8.4,543323
Свидетель обвинения,tt0051201,1957,"Billy Wilder (dir.), Tyrone Power, Marlene Dietrich",68,8.4,74685
Однажды в Америке,tt0087843,1984,"Sergio Leone (dir.), Robert De Niro, James Woods",69,8.4,245342
Подводная лодка,tt0082096,1981,"Wolfgang Petersen (dir.), Jürgen Prochnow, Herbert Grönemeyer",70,8.3,185522
Дангал,tt5074352,2016,"Nitesh Tiwari (dir.), Aamir Khan, Sakshi Tanwar",71,8.3,73845
Гражданин Кейн,tt0033467,1941,"Orson Welles (dir.), Orson Welles, Joseph Cotten",72,8.3,326739
Головокружение,tt0052357,1958,"Alfred Hitchcock (dir.), James Stewart, Kim Novak",73,8.3,280058
North by Northwest,tt0053125,1959,"Alfred Hitchcock (dir.), Cary Grant, Eva Marie Saint",74,8.3,241748
Звёздные войны. Эпизод 6: Возвращение джедая,tt0086190,1983,"Richard Marquand (dir.), Mark Hamill, Harrison Ford",75,8.3,766170
Храброе сердце,tt0112573,1995,"Mel Gibson (dir.), Mel Gibson, Sophie Marceau",76,8.3,811435
Бешеные псы,tt0105236,1992,"Quentin Tarantino (dir.), Harvey Keitel, Tim Roth",77,8.3,739598
М,tt0022100,1931,"Fritz Lang (dir.), Peter Lorre, Ellen Widmann",78,8.3,110728
