name,id,year,director,top,rating,num_of_rates
The Best Years of Our Lives,tt0036868,1946,"William Wyler (dir.), Fredric March, Dana Andrews",238,8.0,44735
12 обезьян,tt0114746,1995,"Terry Gilliam (dir.), Bruce Willis, Madeleine Stowe",239,8.0,502692
Двойная рокировка,tt0338564,2002,"Wai-Keung Lau (dir.), Andy Lau, Tony Chiu-Wai Leung",240,8.0,100865
Прислуга,tt1454029,2011,"Tate Taylor (dir.), Emma Stone, Viola Davis",241,8.0,353009
"Paris, Texas",tt0087884,1984,"Wim Wenders (dir.), Harry Dean Stanton, Nastassja Kinski",242,8.0,58475
Любовное настроение,tt0118694,2000,"Kar-Wai Wong (dir.), Tony Chiu-Wai Leung, Maggie Cheung",243,8.0,87643
La battaglia di Algeri,tt0058946,1966,"Gillo Pontecorvo (dir.), Brahim Hadjadj, Jean Martin",244,8.0,42515
Красавица и чудовище,tt0101414,1991,"Gary Trousdale (dir.), Paige O'Hara, Robby Benson",245,8.0,347169
Служанка,tt4016934,2016,"Chan-wook Park (dir.), Min-hee Kim, Jung-woo Ha",246,8.0,45894
Общество мёртвых поэтов,tt0097165,1989,"Peter Weir (dir.), Robin Williams, Robert Sean Leonard",247,8.0,305260
Пираты Карибского моря: Проклятие Чёрной жемчужины,tt0325980,2003,"Gore Verbinski (dir.), Johnny Depp, Geoffrey Rush",248,8.0,890430
Собачий полдень,tt0072890,1975,"Sidney Lumet (dir.), Al Pacino, John Cazale",249,8.0,200199
Небесный замок Лапута,tt0092067,1986,"Hayao Miyazaki (dir.), Anna Paquin, James Van Der Beek",250,8.0,110396
